Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,2.0289449,0.08683473,0.14005602,0.30742297,0.29014939,0.28618114,0.4073296,0.34780579,0.16316527,4284.0,0.20689663,1.6885999,2.3692899,0.1677448
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,250000,2.0799297,0.12384717,0.18972332,0.34694774,0.34299517,0.23891085,0.36100132,0.32498902,0.15151515,2277.0,0.33128657,1.5349633,2.6248961,0.26201193
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,250000,1.9711011,0.04484305,0.08370703,0.26258097,0.23019432,0.33981066,0.45989038,0.37369208,0.17638266,2007.0,0.26988938,1.5271331,2.4150692,0.22523858
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.8487486,0.19276088,0.56796303,0.46461302,0.4174047,0.44705429,0.39137466,0.25182903,0.11574894,12985.0,0.18260886,2.548357,3.1491401,0.10544686
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,300000,2.8150695,0.19853694,0.59034382,0.46378932,0.39912217,0.46159473,0.38171178,0.22428676,0.09568398,6835.0,0.27827365,2.3573093,3.2728296,0.1626106
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,300000,2.8861789,0.18634146,0.54308943,0.46552846,0.43772358,0.43089431,0.40211382,0.28243902,0.13804878,6150.0,0.31013276,2.3760105,3.3963473,0.17676257
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.4758329,0.26075395,0.75770374,0.69685594,0.46206789,0.58204286,0.3405287,0.2529329,0.12294697,6393.0,0.36853984,2.8695849,4.082081,0.17441806
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,375000,3.3599291,0.26979905,0.78309693,0.78191489,0.4784279,0.57417258,0.22990544,0.11938534,0.12322695,3384.0,0.45612706,2.6096001,4.1102581,0.22331692
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,375000,3.6061815,0.25058159,0.7291459,0.60119641,0.44366899,0.59089398,0.46493852,0.40312396,0.1226321,3009.0,0.58149661,2.6496195,4.5627434,0.26525618
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,1.6104294,0.00613497,0.0398773,0.26380368,0.17893661,0.33537832,0.32310838,0.22188139,0.24130879,978.0,0.4285834,0.90540975,2.3154491,0.43778366
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,240000,1.4585448,0.0,0.0,0.39255499,0.28426396,0.18612521,0.31472081,0.08967851,0.19120135,591.0,0.5962285,0.47774895,2.4393407,0.67244823
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,240000,1.8423773,0.01550388,0.10077519,0.06718346,0.01808786,0.56330749,0.33591731,0.42377261,0.31782946,387.0,0.73912135,0.62652264,3.0582319,0.65993792
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,2.6498498,0.14774775,0.57597598,0.45525526,0.44204204,0.32072072,0.34834835,0.24024024,0.11951952,1665.0,0.67025631,1.5472782,3.7524215,0.41608834
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,302000,2.8693361,0.20653319,0.78609062,0.47207587,0.5890411,0.39304531,0.20653319,0.01369863,0.20231823,949.0,0.88329955,1.4163084,4.3223639,0.50639858
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,302000,2.3589385,0.0698324,0.29748603,0.43296089,0.2472067,0.22486034,0.53631285,0.54050279,0.00977654,716.0,0.93715079,0.8173255,3.9005516,0.6535198
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,1.9086022,0.0,0.07526882,0.66666667,0.34946237,0.06451613,0.16129032,0.34946237,0.24193548,186.0,1.0206211,0.2296805,3.5875238,0.87966036
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,92000,1.5367647,0.0,0.0,0.66176471,0.19852941,0.0,0.0,0.43382353,0.24264706,136.0,1.0793943,-0.23883887,3.3123683,1.1554167
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,92000,2.92,0.0,0.28,0.68,0.76,0.24,0.6,0.12,0.24,50.0,1.8720314,-0.15949163,5.9994916,1.0546204
"2-4 Units  (Own/Rent), 2 BR",All Values,,2.144591,0.18364116,0.3176781,0.49129288,0.37467018,0.2116095,0.26596306,0.1878628,0.11187335,1895.0,0.62686539,1.1133975,3.1757846,0.4808346
"2-4 Units  (Own/Rent), 2 BR",    Below Median,142000,2.1353982,0.20442478,0.3380531,0.43893805,0.6,0.12566372,0.16637168,0.22477876,0.03716814,1130.0,0.80103939,0.81768844,3.453108,0.61707918
"2-4 Units  (Own/Rent), 2 BR",    Above Median,142000,2.1581699,0.15294118,0.2875817,0.56862745,0.04183007,0.33856209,0.4130719,0.13333333,0.22222222,765.0,0.95246012,0.59137303,3.7249668,0.72598403
"2-4 Units (Own/Rent), 3 BR",All Values,,3.6329966,0.28282828,0.96632997,0.84848485,0.24579125,0.62289562,0.58249158,0.08417508,0.0,297.0,1.8669445,0.56187292,6.7041203,0.84534175
"2-4 Units (Own/Rent), 3 BR",    Below Median,200000,3.9226804,0.3556701,1.2113402,0.7628866,0.20103093,0.5,0.89175258,0.0,0.0,194.0,2.6831603,-0.49111831,8.3364791,1.1251997
"2-4 Units (Own/Rent), 3 BR",    Above Median,200000,3.0873786,0.14563107,0.50485437,1.0097087,0.33009709,0.85436893,0.0,0.24271845,0.0,103.0,2.1106783,-0.3846871,6.5594444,1.1245999
"5-49 Units (Own), 0-1 BR",All Values,,1.2407407,0.0,0.0,0.44444444,0.0,0.0,0.0,0.31481481,0.48148148,54.0,1.0421768,-0.47364013,2.9551216,1.3817398
"5-49 Units (Own), 0-1 BR",    Below Median,250000,1.0,0.0,0.0,0.58536585,0.0,0.0,0.0,0.41463415,0.0,41.0,0.98252125,-0.61624746,2.6162475,1.6162475
"5-49 Units (Own), 0-1 BR",    Above Median,250000,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,2.9093809,-2.7859315,6.7859315,2.3929658
"5-49 Units (Own), 2 BR",All Values,,1.8311688,0.0,0.0,0.46103896,0.7987013,0.0,0.1038961,0.46753247,0.0,154.0,1.0001679,0.18589267,3.476445,0.89848415
"5-49 Units (Own), 2 BR",    Below Median,200000,1.847619,0.0,0.0,0.67619048,1.1714286,0.0,0.0,0.0,0.0,105.0,1.3580545,-0.38638054,4.0816186,1.2091235
"5-49 Units (Own), 2 BR",    Above Median,200000,1.7959184,0.0,0.0,0.0,0.0,0.0,0.32653061,1.4693878,0.0,49.0,1.8003849,-1.1657147,4.7575514,1.6490911
"5-49 Units (Rent), 0-1 BR",All Values,,1.2694818,0.0,0.0,0.31823417,0.09712092,0.14932821,0.21497121,0.28445298,0.20537428,2605.0,0.29238366,0.78851064,1.7504529,0.37887203
"5-49 Units (Rent), 0-1 BR",    Below Median,84000,1.2010343,0.0,0.0,0.03038138,0.13380737,0.17582418,0.29411765,0.2656755,0.30122818,1547.0,0.40401722,0.53642594,1.8656426,0.55336334
"5-49 Units (Rent), 0-1 BR",    Above Median,84000,1.3695652,0.0,0.0,0.73913043,0.04347826,0.11058601,0.09924386,0.31190926,0.06521739,1058.0,0.42929153,0.66338065,2.0757498,0.51562683
"5-49 Units (Rent), 2 BR",All Values,,2.3595764,0.20349908,0.36372007,1.0524862,0.31906077,0.0,0.24539595,0.04696133,0.12845304,2172.0,0.62297152,1.3347883,3.3843646,0.43431022
"5-49 Units (Rent), 2 BR",    Below Median,154000,2.5292208,0.33522727,0.56493506,0.76298701,0.37581169,0.0,0.29788961,0.03814935,0.15422078,1232.0,0.85213579,1.1274574,3.9309842,0.55422737
"5-49 Units (Rent), 2 BR",    Above Median,154000,2.137234,0.03085106,0.1,1.4319149,0.24468085,0.0,0.17659574,0.05851064,0.09468085,940.0,0.77127381,0.86848862,3.4059795,0.59363897
"50+ Units (Own), 0-1 BR",All Values,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44444444,0.55555556,27.0,0.97496087,-0.60381063,2.6038106,1.6038106
"50+ Units (Own), 0-1 BR",    Below Median,170000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52173913,0.47826087,23.0,1.1140111,-0.83254831,2.8325483,1.8325483
"50+ Units (Own), 0-1 BR",    Above Median,170000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.7001838,-1.7968024,3.7968024,2.7968024
"50+ Units (Own), 2 BR",All Values,,1.8831169,0.0,0.0,0.0,0.0,0.0,0.72727273,1.0,0.15584416,77.0,1.7444819,-0.98655578,4.7527895,1.5238951
"50+ Units (Own), 2 BR",    Below Median,295000,1.8831169,0.0,0.0,0.0,0.0,0.0,0.72727273,1.0,0.15584416,77.0,1.7444819,-0.98655578,4.7527895,1.5238951
"50+ Units (Own), 3 BR",All Values,,0.98507463,0.0,0.0,0.0,0.0,0.0,0.0,0.98507463,0.0,67.0,1.3624382,-1.2561362,3.2262854,2.2751685
"50+ Units (Own), 3 BR",    Below Median,215000,0.98507463,0.0,0.0,0.0,0.0,0.0,0.0,0.98507463,0.0,67.0,1.3624382,-1.2561362,3.2262854,2.2751685
"50+ Units (Rent), 0-1 BR",All Values,,1.4415744,0.0,0.0,0.57687577,0.0,0.0,0.0,0.17466175,0.6900369,813.0,0.46661353,0.67399517,2.2091537,0.53245898
"50+ Units (Rent), 0-1 BR",    Below Median,165000,1.3832237,0.0,0.0,0.48684211,0.0,0.0,0.0,0.16611842,0.73026316,608.0,0.4784259,0.59621308,2.1702343,0.56896843
"50+ Units (Rent), 0-1 BR",    Above Median,165000,1.6146341,0.0,0.0,0.84390244,0.0,0.0,0.0,0.2,0.57073171,205.0,1.117324,-0.22336381,3.4526321,1.1383371
"50+ Units (Rent), 2 BR",All Values,,1.9415121,0.16975749,0.12838802,0.34236805,0.23537803,0.0,0.19400856,0.16405136,0.70756063,701.0,0.89673149,0.46638883,3.4166354,0.75978063
"50+ Units (Rent), 2 BR",    Below Median,165000,1.9788054,0.22928709,0.0655106,0.25240848,0.1849711,0.0,0.26204239,0.22157996,0.76300578,519.0,1.0200271,0.30086078,3.65675,0.84795838
"50+ Units (Rent), 2 BR",    Above Median,165000,1.8351648,0.0,0.30769231,0.5989011,0.37912088,0.0,0.0,0.0,0.54945055,182.0,1.6063823,-0.80733404,4.4776637,1.4399245
All Housing Types (Own) 0-1 BR,All Values,,1.8310854,0.05716121,0.11817598,0.21836866,0.26075787,0.27874117,0.39563263,0.37186898,0.13037893,1557.0,0.27182968,1.3839256,2.2782452,0.24420478
All Housing Types (Own) 0-1 BR,    Below Median,175000,1.6862027,0.03785104,0.04151404,0.27594628,0.27716728,0.34676435,0.3015873,0.37851038,0.02686203,819.0,0.39846494,1.0307279,2.3416775,0.38872837
All Housing Types (Own) 0-1 BR,    Above Median,175000,1.9918699,0.07859079,0.20325203,0.15447154,0.24254743,0.20325203,0.5,0.36449864,0.24525745,738.0,0.50311363,1.164248,2.8194918,0.41549998
