Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,2.245139,0.20134472,0.26858077,0.45611485,0.27657641,0.15845902,0.3612575,0.34344903,0.17935671
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,200000,2.0604357,0.13246662,0.1978215,0.54848911,0.23893183,0.17041462,0.32185524,0.31096275,0.13949403
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,200000,2.4429808,0.27512232,0.34437335,0.35716974,0.31689876,0.14565299,0.40346255,0.37824614,0.22205495
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.7308842,0.25377001,0.47910715,0.5532452,0.37288248,0.33162825,0.37075666,0.27748622,0.09200824
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,248000,2.87555,0.29516028,0.57397863,0.70685104,0.40389692,0.33714645,0.28636078,0.18038969,0.09176618
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,248000,2.5687518,0.20738236,0.37278107,0.38109327,0.33812342,0.32544379,0.46534235,0.386306,0.09227952
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.4064732,0.26428386,0.91621218,0.59005324,0.57713284,0.50298663,0.33739125,0.17815868,0.04025451
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,300000,3.4425822,0.27966249,0.92215223,0.70716061,0.5881639,0.50407444,0.26047506,0.12604751,0.05484598
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,300000,3.3601955,0.24457448,0.90859936,0.43996741,0.56299533,0.50159247,0.43596771,0.24494482,0.02155396
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,1.6040706,0.02632293,0.02740841,0.42605156,0.12483039,0.10800543,0.27815468,0.2890095,0.32428765
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,165000,1.6369587,0.04884189,0.05085599,0.70342397,0.18529708,0.11278953,0.24672709,0.14350453,0.14551863
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,165000,1.5656268,0.0,0.0,0.1018246,0.0541495,0.10241318,0.31489111,0.45909358,0.53325486
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,2.0490006,0.05125725,0.21792392,0.29045777,0.20180529,0.13475177,0.39071567,0.43004513,0.33204384
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,240000,2.0580569,0.04976303,0.3193128,0.38507109,0.28791469,0.09478673,0.26599526,0.48400474,0.17120853
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,240000,2.0381895,0.05304102,0.09688826,0.17751061,0.0990099,0.1824611,0.53960396,0.36562942,0.52404526
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,1.8935644,0.14356436,0.10643564,0.83168317,0.16089109,0.12376238,0.0,0.09405941,0.43316832
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,88000,2.0075472,0.09433962,0.09056604,0.93962264,0.24528302,0.18867925,0.0,0.14339623,0.30566038
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,88000,1.676259,0.23741007,0.13669065,0.62589928,0.0,0.0,0.0,0.0,0.67625899
"2-4 Units  (Own/Rent), 2 BR",All Values,,1.726601,0.02216749,0.15665025,0.4729064,0.26896552,0.1773399,0.19704433,0.18078818,0.25073892
"2-4 Units  (Own/Rent), 2 BR",    Below Median,99000,1.8446691,0.03125,0.29227941,0.69393382,0.40625,0.1875,0.04963235,0.07996324,0.10386029
"2-4 Units  (Own/Rent), 2 BR",    Above Median,99000,1.5902335,0.01167728,0.0,0.21762208,0.1104034,0.1656051,0.36730361,0.29723992,0.42038217
"2-4 Units (Own/Rent), 3 BR",All Values,,3.2773973,0.7260274,0.46746575,0.75171233,0.57876712,0.1010274,0.25171233,0.29452055,0.10616438
